subset	layer	step@1	step@5	step@10	agent@1	agent@5	agent@10
algorithm-generated	layer_17	4.76 / 3.17	57.94 / 60.32	100.00 / 100.00	36.51 / 35.71	86.51 / 86.51	100.00 / 100.00
algorithm-generated	layer_18	5.56 / 3.97	57.94 / 60.32	100.00 / 100.00	37.30 / 35.71	87.30 / 86.51	100.00 / 100.00
algorithm-generated	layer_19	5.56 / 5.56	56.35 / 60.32	100.00 / 100.00	37.30 / 36.51	85.71 / 86.51	100.00 / 100.00
algorithm-generated	layer_20	4.76 / 5.56	55.56 / 57.14	100.00 / 100.00	36.51 / 37.30	84.92 / 86.51	100.00 / 100.00
algorithm-generated	layer_21	6.35 / 4.76	56.35 / 59.52	100.00 / 100.00	37.30 / 34.92	85.71 / 85.71	100.00 / 100.00
algorithm-generated	layer_22	6.35 / 4.76	56.35 / 57.14	100.00 / 100.00	35.71 / 33.33	84.92 / 84.92	100.00 / 100.00
algorithm-generated	layer_23	4.76 / 4.76	56.35 / 56.35	100.00 / 100.00	35.71 / 35.71	84.92 / 84.92	100.00 / 100.00
algorithm-generated	layer_24	4.76 / 4.76	54.76 / 55.56	100.00 / 100.00	35.71 / 34.92	84.92 / 85.71	100.00 / 100.00
algorithm-generated	layer_25	4.76 / 3.17	55.56 / 54.76	100.00 / 100.00	35.71 / 34.13	84.92 / 84.13	100.00 / 100.00
algorithm-generated	layer_26	4.76 / 3.97	55.56 / 54.76	100.00 / 100.00	35.71 / 34.92	84.92 / 84.13	100.00 / 100.00
algorithm-generated	layer_27	4.76 / 4.76	54.76 / 52.38	100.00 / 100.00	35.71 / 34.92	84.92 / 84.13	100.00 / 100.00
algorithm-generated	layer_28	4.76 / 3.97	56.35 / 53.97	100.00 / 100.00	34.92 / 34.13	85.71 / 85.71	100.00 / 100.00
algorithm-generated	layer_29	4.76 / 5.56	57.14 / 53.97	100.00 / 100.00	35.71 / 36.51	86.51 / 85.71	100.00 / 100.00
algorithm-generated	layer_30	5.56 / 4.76	60.32 / 52.38	100.00 / 100.00	35.71 / 34.92	88.10 / 84.13	100.00 / 100.00
algorithm-generated	layer_31	4.76 / 5.56	59.52 / 55.56	100.00 / 100.00	34.92 / 35.71	86.51 / 86.51	100.00 / 100.00
algorithm-generated	layer_32	5.56 / 5.56	58.73 / 57.14	100.00 / 100.00	34.92 / 34.92	86.51 / 84.92	100.00 / 100.00
algorithm-generated	layer_33	3.97 / 5.56	59.52 / 56.35	100.00 / 100.00	35.71 / 36.51	86.51 / 85.71	100.00 / 100.00
algorithm-generated	layer_34	4.76 / 4.76	57.94 / 54.76	100.00 / 100.00	34.92 / 34.13	87.30 / 83.33	100.00 / 100.00
algorithm-generated	layer_35	5.56 / 4.76	55.56 / 53.17	100.00 / 100.00	37.30 / 37.30	86.51 / 86.51	100.00 / 100.00
algorithm-generated	lm_head	6.35 / 3.97	65.08 / 54.76	100.00 / 100.00	39.68 / 36.51	95.24 / 89.68	100.00 / 100.00
