subset	layer	step@1	step@5	step@10	agent@1	agent@5	agent@10
algorithm-generated	layer_9	24.60 / 25.40	80.16 / 80.95	100.00 / 100.00	40.48 / 42.86	94.44 / 93.65	100.00 / 100.00
algorithm-generated	layer_10	25.40 / 25.40	80.95 / 80.95	100.00 / 100.00	41.27 / 44.44	93.65 / 93.65	100.00 / 100.00
algorithm-generated	layer_11	25.40 / 24.60	80.95 / 80.16	100.00 / 100.00	42.06 / 43.65	93.65 / 93.65	100.00 / 100.00
algorithm-generated	layer_12	25.40 / 23.81	80.16 / 80.16	100.00 / 100.00	42.06 / 41.27	93.65 / 93.65	100.00 / 100.00
algorithm-generated	layer_13	25.40 / 24.60	80.16 / 80.16	100.00 / 100.00	40.48 / 41.27	93.65 / 93.65	100.00 / 100.00
algorithm-generated	layer_14	23.81 / 25.40	80.16 / 80.16	100.00 / 100.00	38.89 / 42.06	94.44 / 93.65	100.00 / 100.00
algorithm-generated	layer_15	23.81 / 22.22	80.95 / 80.95	100.00 / 100.00	39.68 / 38.10	95.24 / 95.24	100.00 / 100.00
algorithm-generated	layer_16	21.43 / 23.02	78.57 / 80.16	100.00 / 100.00	38.89 / 40.48	95.24 / 95.24	100.00 / 100.00
algorithm-generated	layer_17	22.22 / 23.02	78.57 / 79.37	100.00 / 100.00	40.48 / 42.06	94.44 / 95.24	100.00 / 100.00
algorithm-generated	layer_18	22.22 / 23.02	78.57 / 79.37	100.00 / 100.00	40.48 / 42.06	95.24 / 95.24	100.00 / 100.00
algorithm-generated	layer_19	20.63 / 23.02	78.57 / 78.57	100.00 / 100.00	41.27 / 42.06	95.24 / 95.24	100.00 / 100.00
algorithm-generated	layer_20	19.84 / 23.02	76.19 / 78.57	100.00 / 100.00	41.27 / 42.06	95.24 / 95.24	100.00 / 100.00
algorithm-generated	layer_21	21.43 / 21.43	76.19 / 77.78	100.00 / 100.00	43.65 / 39.68	95.24 / 95.24	100.00 / 100.00
algorithm-generated	layer_22	21.43 / 23.02	76.19 / 76.98	100.00 / 100.00	42.06 / 41.27	94.44 / 95.24	100.00 / 100.00
algorithm-generated	layer_23	20.63 / 20.63	78.57 / 76.98	100.00 / 100.00	42.86 / 42.06	94.44 / 94.44	100.00 / 100.00
algorithm-generated	layer_24	22.22 / 21.43	78.57 / 76.98	100.00 / 100.00	44.44 / 41.27	94.44 / 95.24	100.00 / 100.00
algorithm-generated	layer_25	22.22 / 22.22	76.19 / 76.98	100.00 / 100.00	43.65 / 42.06	93.65 / 94.44	100.00 / 100.00
algorithm-generated	layer_26	19.84 / 20.63	76.98 / 75.40	100.00 / 100.00	42.86 / 41.27	94.44 / 94.44	100.00 / 100.00
algorithm-generated	layer_27	20.63 / 22.22	76.19 / 73.81	100.00 / 100.00	42.06 / 42.86	93.65 / 93.65	100.00 / 100.00
algorithm-generated	layer_28	19.84 / 21.43	75.40 / 74.60	100.00 / 100.00	40.48 / 38.10	94.44 / 93.65	100.00 / 100.00
algorithm-generated	layer_29	19.84 / 19.05	74.60 / 76.19	100.00 / 100.00	40.48 / 34.13	95.24 / 94.44	100.00 / 100.00
algorithm-generated	layer_30	20.63 / 19.84	75.40 / 74.60	100.00 / 100.00	37.30 / 38.10	93.65 / 92.86	100.00 / 100.00
algorithm-generated	layer_31	20.63 / 22.22	77.78 / 79.37	100.00 / 100.00	37.30 / 38.10	93.65 / 93.65	100.00 / 100.00
algorithm-generated	lm_head	12.70 / 22.22	69.84 / 78.57	100.00 / 100.00	23.81 / 38.10	92.06 / 93.65	100.00 / 100.00
