subset	layer	step@1	step@5	step@10	agent@1	agent@5	agent@10
algorithm-generated	layer_16	1.59 / 1.59	41.27 / 41.27	100.00 / 100.00	25.40 / 26.19	73.81 / 73.81	100.00 / 100.00
algorithm-generated	layer_17	0.79 / 1.59	42.06 / 41.27	100.00 / 100.00	26.19 / 26.19	74.60 / 73.02	100.00 / 100.00
algorithm-generated	layer_18	0.79 / 1.59	40.48 / 40.48	100.00 / 100.00	26.19 / 26.19	74.60 / 74.60	100.00 / 100.00
algorithm-generated	layer_19	0.00 / 0.79	38.89 / 38.89	100.00 / 100.00	26.19 / 26.19	73.81 / 74.60	100.00 / 100.00
algorithm-generated	layer_20	0.00 / 0.00	38.89 / 38.10	100.00 / 100.00	24.60 / 26.19	73.02 / 73.81	100.00 / 100.00
algorithm-generated	layer_21	0.00 / 0.00	36.51 / 40.48	100.00 / 100.00	23.81 / 26.19	73.02 / 73.81	100.00 / 100.00
algorithm-generated	layer_22	0.00 / 0.00	36.51 / 40.48	100.00 / 100.00	23.81 / 25.40	72.22 / 73.81	100.00 / 100.00
algorithm-generated	layer_23	0.79 / 0.79	35.71 / 34.92	100.00 / 100.00	24.60 / 24.60	72.22 / 71.43	100.00 / 100.00
algorithm-generated	layer_24	0.79 / 0.79	33.33 / 33.33	100.00 / 100.00	24.60 / 24.60	71.43 / 72.22	100.00 / 100.00
algorithm-generated	layer_25	0.79 / 0.79	33.33 / 34.92	100.00 / 100.00	24.60 / 24.60	70.63 / 71.43	100.00 / 100.00
algorithm-generated	layer_26	0.79 / 0.79	31.75 / 33.33	100.00 / 100.00	24.60 / 24.60	67.46 / 69.05	100.00 / 100.00
algorithm-generated	layer_27	0.79 / 0.79	32.54 / 33.33	100.00 / 100.00	24.60 / 24.60	67.46 / 70.63	100.00 / 100.00
algorithm-generated	layer_28	0.79 / 0.79	33.33 / 32.54	100.00 / 100.00	24.60 / 24.60	68.25 / 69.05	100.00 / 100.00
algorithm-generated	layer_29	1.59 / 0.79	33.33 / 32.54	100.00 / 100.00	23.81 / 24.60	69.05 / 68.25	100.00 / 100.00
algorithm-generated	layer_30	1.59 / 1.59	34.13 / 34.13	100.00 / 100.00	23.81 / 26.19	69.05 / 69.05	100.00 / 100.00
algorithm-generated	layer_31	1.59 / 1.59	34.13 / 33.33	100.00 / 100.00	23.81 / 25.40	69.05 / 66.67	100.00 / 100.00
algorithm-generated	layer_32	1.59 / 1.59	32.54 / 35.71	100.00 / 100.00	23.81 / 23.81	69.05 / 68.25	100.00 / 100.00
algorithm-generated	layer_33	1.59 / 1.59	34.13 / 34.13	100.00 / 100.00	25.40 / 25.40	69.05 / 69.05	100.00 / 100.00
algorithm-generated	layer_34	1.59 / 1.59	34.13 / 37.30	100.00 / 100.00	24.60 / 21.43	69.05 / 69.05	100.00 / 100.00
algorithm-generated	layer_35	0.79 / 0.00	37.30 / 35.71	100.00 / 100.00	25.40 / 25.40	73.02 / 70.63	100.00 / 100.00
algorithm-generated	lm_head	1.59 / 0.79	47.62 / 38.89	100.00 / 100.00	16.67 / 26.19	88.89 / 76.19	100.00 / 100.00
